                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9381,                 2.8816,                  1.565,                0.28532,                0.36293,                0.23639,                0.11795,                  1.486,                 3.2514,                 1.2496,                 0.0739,                 0.0029,                 0.0029
                      1,                 1.5794,                 1.6311,                 1.3001,                0.40425,                0.36667,                0.32292,                0.16393,                  1.525,                 2.2572,                 1.2217,               0.046842,              0.0058416,              0.0058416
                      2,                 1.5616,                 1.3881,                 1.2569,                0.49781,                0.38485,                0.37335,                0.19847,                 1.6981,                 1.9146,                 1.2962,               0.019724,              0.0087238,              0.0087238
                      3,                 1.5017,                 1.3523,                 1.1875,                0.65555,                0.44242,                 0.5025,                0.25748,                 1.5689,                 1.3023,                 1.2482,               0.009703,               0.009703,               0.009703
                      4,                 1.5741,                  1.209,                 1.2087,                0.60978,                0.52424,                 0.5611,                0.31324,                 1.4471,                 1.1578,                  1.158,               0.009703,               0.009703,               0.009703
                      5,                   1.52,                  1.158,                 1.1746,                0.52209,                0.32424,                   0.31,                0.13846,                 1.9068,                 1.8386,                 1.3846,               0.009604,               0.009604,               0.009604
                      6,                 1.5441,                 1.1414,                 1.1889,                0.70388,                0.52424,                0.57391,                0.31056,                 1.5358,                 1.2456,                 1.2209,               0.009505,               0.009505,               0.009505
                      7,                 1.5631,                 1.2463,                 1.1742,                0.66023,                0.47273,                0.53463,                0.27963,                 1.5674,                 1.1875,                 1.2574,               0.009406,               0.009406,               0.009406
                      8,                 1.5284,                 1.1369,                 1.1914,                0.65984,                0.49697,                0.52708,                0.26023,                 1.7033,                  1.564,                 1.2726,               0.009307,               0.009307,               0.009307
                      9,                 1.5624,                 1.1502,                 1.1994,                0.59169,                0.49622,                0.51836,                0.26874,                  1.593,                 1.4631,                 1.2448,               0.009208,               0.009208,               0.009208
                     10,                 1.4925,                 1.0967,                 1.1696,                0.66516,                0.55381,                  0.581,                0.29757,                 1.5226,                 1.1959,                 1.2047,               0.009109,               0.009109,               0.009109
                     11,                 1.5222,                 1.1262,                 1.1716,                  0.698,                0.50909,                0.56595,                0.32134,                  1.472,                  1.245,                  1.194,                0.00901,                0.00901,                0.00901
                     12,                 1.4559,                 1.0541,                 1.1695,                0.65449,                0.55152,                0.59036,                0.33019,                 1.5228,                 1.1236,                 1.2372,               0.008911,               0.008911,               0.008911
                     13,                 1.4486,                 1.0708,                 1.1694,                0.72567,                0.51212,                 0.5818,                0.32115,                 1.4634,                 1.3154,                 1.1855,               0.008812,               0.008812,               0.008812
                     14,                 1.5691,                 1.1482,                 1.2231,                0.71024,                0.49766,                0.57726,                0.29003,                 1.6065,                 1.1398,                 1.2095,               0.008713,               0.008713,               0.008713
                     15,                  1.426,                 1.0413,                  1.157,                0.64125,                0.51999,                0.55724,                0.27035,                 1.6601,                 1.1781,                 1.2837,               0.008614,               0.008614,               0.008614
                     16,                 1.4205,                 1.0265,                 1.1335,                0.70628,                0.55758,                0.62861,                0.34096,                 1.4534,                 1.0696,                 1.1996,               0.008515,               0.008515,               0.008515
                     17,                 1.4624,                 1.0461,                 1.1606,                0.62473,                0.53636,                0.58465,                0.30905,                 1.5029,                 1.1129,                 1.2584,               0.008416,               0.008416,               0.008416
                     18,                 1.4251,                  1.008,                 1.1505,                 0.7036,                0.55152,                0.61334,                0.31945,                  1.503,                 1.0899,                 1.2336,               0.008317,               0.008317,               0.008317
                     19,                 1.4707,                 1.0083,                 1.1564,                0.68787,                0.56667,                0.60953,                0.31421,                   1.56,                 1.1955,                 1.2076,               0.008218,               0.008218,               0.008218
                     20,                 1.4163,                0.99738,                 1.1387,                0.67599,                0.48485,                0.57482,                0.31299,                 1.5273,                 1.1614,                 1.1931,               0.008119,               0.008119,               0.008119
                     21,                 1.4983,                  1.272,                 1.1904,                 0.6449,                0.52832,                0.58887,                 0.3188,                 1.5024,                 1.1321,                 1.1589,                0.00802,                0.00802,                0.00802
                     22,                  1.388,                0.97075,                 1.1175,                0.72247,                0.54242,                0.63542,                 0.3517,                  1.403,                 1.1023,                 1.1911,               0.007921,               0.007921,               0.007921
                     23,                 1.3785,                0.93984,                 1.1172,                0.68679,                0.55455,                0.61776,                0.35916,                 1.3961,                0.99767,                 1.1453,               0.007822,               0.007822,               0.007822
                     24,                 1.4123,                0.97587,                 1.1253,                0.69557,                0.54242,                 0.6001,                0.33317,                 1.5623,                 1.0632,                 1.2368,               0.007723,               0.007723,               0.007723
                     25,                 1.3968,                0.94189,                 1.1146,                0.65552,                0.51515,                0.58376,                0.31757,                 1.4631,                 1.0988,                 1.1747,               0.007624,               0.007624,               0.007624
                     26,                 1.3532,                0.94959,                 1.1053,                0.66452,                0.55152,                0.62373,                0.35487,                 1.4372,                 1.0863,                 1.1636,               0.007525,               0.007525,               0.007525
                     27,                 1.3528,                0.93655,                  1.101,                 0.7019,                 0.4697,                0.54002,                0.27731,                 1.6385,                 1.2954,                 1.2665,               0.007426,               0.007426,               0.007426
                     28,                 1.3492,                0.92161,                   1.11,                0.73329,                0.56667,                0.64515,                0.37864,                 1.3475,                 1.0346,                 1.1262,               0.007327,               0.007327,               0.007327
                     29,                 1.3333,                 0.8949,                 1.1001,                 0.7082,                0.58788,                0.66436,                0.38735,                 1.4042,                  1.198,                 1.1437,               0.007228,               0.007228,               0.007228
                     30,                 1.3247,                0.88969,                 1.1051,                0.72543,                0.55758,                0.62483,                0.34657,                  1.476,                0.99104,                  1.183,               0.007129,               0.007129,               0.007129
                     31,                 1.3325,                0.91666,                 1.0932,                0.67061,                    0.6,                0.63312,                0.33956,                 1.4624,                 1.0611,                 1.1781,                0.00703,                0.00703,                0.00703
                     32,                 1.3125,                0.90901,                 1.0902,                0.76493,                0.57879,                0.66323,                0.37773,                 1.3803,                0.93411,                 1.1583,               0.006931,               0.006931,               0.006931
                     33,                 1.3207,                 0.8608,                  1.084,                0.65429,                0.60219,                0.63743,                0.34696,                  1.531,                 1.0517,                 1.1826,               0.006832,               0.006832,               0.006832
                     34,                 1.3209,                0.88498,                 1.0851,                0.75677,                0.57512,                0.64736,                0.37855,                  1.423,                 0.9837,                 1.1705,               0.006733,               0.006733,               0.006733
                     35,                 1.2944,                0.85286,                 1.0892,                0.75256,                0.51613,                0.60285,                0.34663,                 1.4467,                 1.0222,                 1.1794,               0.006634,               0.006634,               0.006634
                     36,                 1.3127,                0.86025,                 1.0933,                 0.7112,                0.50745,                0.59658,                0.32095,                 1.6205,                 1.0627,                   1.25,               0.006535,               0.006535,               0.006535
                     37,                 1.2766,                0.84197,                  1.066,                0.72968,                0.58076,                0.65907,                0.37396,                 1.4106,                0.94706,                 1.1515,               0.006436,               0.006436,               0.006436
                     38,                 1.2485,                  0.853,                 1.0565,                0.78342,                 0.5919,                0.69268,                0.39689,                 1.3791,                0.92586,                 1.1418,               0.006337,               0.006337,               0.006337
                     39,                 1.2932,                0.89898,                 1.0686,                0.75509,                0.56667,                 0.6371,                0.35522,                 1.4971,                0.98385,                 1.2116,               0.006238,               0.006238,               0.006238
                     40,                 1.2169,                0.81562,                 1.0618,                0.75957,                0.56482,                0.65182,                 0.3834,                 1.4065,                0.93998,                 1.1953,               0.006139,               0.006139,               0.006139
                     41,                 1.3108,                0.83971,                 1.1013,                0.72873,                 0.6303,                0.69733,                0.39313,                 1.4389,                0.89303,                 1.1713,                0.00604,                0.00604,                0.00604
                     42,                 1.2355,                0.81435,                 1.0707,                0.77537,                0.58182,                0.67011,                0.38802,                  1.382,                0.92864,                 1.1609,               0.005941,               0.005941,               0.005941
                     43,                 1.2848,                0.87576,                   1.07,                0.79791,                0.57879,                0.67502,                0.38553,                 1.3916,                0.94279,                 1.1647,               0.005842,               0.005842,               0.005842
                     44,                 1.2546,                0.82701,                 1.0505,                0.77588,                0.58788,                0.67908,                0.37769,                 1.4219,                0.94784,                 1.1729,               0.005743,               0.005743,               0.005743
                     45,                 1.2703,                0.83593,                 1.0473,                0.73735,                0.59394,                0.66592,                0.37505,                 1.4658,                0.97539,                 1.2082,               0.005644,               0.005644,               0.005644
                     46,                 1.1946,                0.79825,                 1.0453,                0.77136,                0.55205,                   0.65,                0.38525,                  1.359,                 0.9609,                 1.1582,               0.005545,               0.005545,               0.005545
                     47,                 1.2366,                0.79119,                 1.0617,                0.73157,                0.61515,                0.66427,                 0.3652,                 1.4227,                0.95725,                 1.1461,               0.005446,               0.005446,               0.005446
                     48,                 1.2708,                0.78064,                  1.117,                0.69766,                0.60836,                0.66457,                0.37366,                 1.4235,                 1.0083,                 1.1947,               0.005347,               0.005347,               0.005347
                     49,                 1.2105,                0.77926,                  1.035,                0.74731,                0.58182,                0.67785,                0.38571,                 1.3937,                0.93119,                  1.156,               0.005248,               0.005248,               0.005248
                     50,                 1.1709,                0.82249,                 1.0531,                0.73794,                0.62293,                0.70825,                0.39575,                 1.4449,                0.91322,                 1.1687,               0.005149,               0.005149,               0.005149
                     51,                 1.1875,                 0.7623,                 1.0398,                0.72227,                0.65455,                0.68811,                0.38428,                 1.4029,                0.91047,                 1.1666,                0.00505,                0.00505,                0.00505
